"pop2024","city","state","usps","densityMi","growth","areaMi"
"117619","High Point","North Carolina","NC","2052","0.00593","57.327"
"117396","New Braunfels","Texas","TX","2607","0.05802","45.035"
"117214","Berkeley","California","CA","11236","-0.01469","10.432"
"116874","League City","Texas","TX","2275","0.00476","51.362"
"116834","Menifee","California","CA","2515","0.02998","46.464"
"116830","Brandon","Florida","FL","3526","0.00823","33.134"
"116813","Richardson","Texas","TX","4090","-0.0053","28.562"
"116689","Clearwater","Florida","FL","4458","-0.00138","26.175"
"116460","Goodyear","Arizona","AZ","609","0.04163","191.305"
"116015","Odessa","Texas","TX","2236","0.00235","51.889"
"115956","Las Cruces","New Mexico","NM","1507","0.00926","76.933"
"115676","East Los Angeles","California","CA","15521","-0.00664","7.453"
"115462","Manchester","New Hampshire","NH","3492","-0.0001","33.069"
"115360","Waterbury","Connecticut","CT","4040","0.00322","28.557"
"114651","Evansville","Indiana","IN","2421","-0.0059","47.355"
"114302","Westminster","Colorado","CO","3615","-0.00499","31.618"
"114200","West Jordan","Utah","UT","3505","-0.00616","32.586"
"114173","Pompano Beach","Florida","FL","4744","0.00488","24.066"
"113958","Buckeye","Arizona","AZ","289","0.04636","394.829"
"113912","Conroe","Texas","TX","1503","0.05232","75.796"
"113907","Lowell","Massachusetts","MA","8369","-0.0034","13.61"
"113721","Greeley","Colorado","CO","2300","0.00987","49.434"
"113711","Tuscaloosa","Alabama","AL","1830","0.02131","62.15"
"113644","Allen","Texas","TX","4304","0.01813","26.402"
"113409","Richmond","California","CA","3775","-0.00611","30.042"
"113018","Carlsbad","California","CA","2989","-0.0042","37.812"
"112874","Elgin","Illinois","IL","2959","-0.00385","38.143"
"112756","Provo","Utah","UT","2704","-0.00518","41.702"
"112735","Rio Rancho","New Mexico","NM","1091","0.01875","103.361"
"112122","Murrieta","California","CA","3343","0.00218","33.536"
"111964","Lansing","Michigan","MI","2857","-0.00135","39.185"
"111959","Springfield","Illinois","IL","1828","-0.0052","61.261"
"111863","Concord","North Carolina","NC","1747","0.01584","64.033"
"111823","South Fulton","Georgia","GA","1203","0.00814","92.954"
"111678","Tyler","Texas","TX","1932","0.01225","57.79"
"111305","Beaumont","Texas","TX","1355","-0.00791","82.139"
"111275","Everett","Washington","WA","3312","0.00085","33.601"
"110878","Temecula","California","CA","2982","0.00177","37.177"
